URN,schname,pcode_fixed,latitude,longitude
141008,Arc School Ansley,CV10 9ND,52.521404,-1.574722
125790,Arc School Old Arley,CV7 8NU,52.513692,-1.57971
104717,Archbishop Beck Catholic College,L9 7BF,53.462334,-2.951169
104705,Archbishop Blanch CofE High School,L7 6HQ,53.398506,-2.942978
136617,"Archbishop Holgate's School, A Church of England Academy",YO10 5ZA,53.952355,-1.041082
146124,Archbishop Ilsley Catholic School,B27 7XY,52.444865,-1.821833
135598,Archbishop Sentamu Academy,HU9 5YB,53.75862,-0.280459
119814,Archbishop Temple Church of England High School,PR2 8RA,53.782758,-2.703996
101811,Archbishop Tenison's CofE High School,CR0 5JQ,51.369144,-0.08379
111517,Archers Brook SEMH Residential School,CH66 2NA,53.265833,-2.93193
115723,Archway School,GL5 4AX,51.751345,-2.238014
147732,Arco Academy,SE5 8TS,51.474356,-0.090788
136333,Arden,B93 0PT,52.38353,-1.741259
126133,Ardingly College,RH17 6SQ,51.040491,-0.092346
145580,Arena Academy,B42 2PY,52.540607,-1.907834
108873,Argyle House School,SR2 7LA,54.898399,-1.39108
149481,Arise Academy,CR0 2XX,51.384748,-0.099306
135600,Ark Academy,HA9 9JR,51.565338,-0.279974
146318,Ark Acton Academy,W3 8EY,51.50541,-0.281007
139821,Ark Alexandra Academy,TN34 2PG,50.872995,0.568548
139718,Ark All Saints Academy,SE5 0UB,51.478033,-0.099592
147832,Ark Blake Academy,CR0 6NA,51.381214,-0.08386
138267,Ark Bolingbroke Academy,SW11 6BF,51.45617,-0.168282
140014,Ark Boulton Academy,B11 2QG,52.458465,-1.860602
131752,Ark Burlington Danes Academy,W12 0HR,51.518953,-0.229892
135965,Ark Charter Academy,PO5 4HL,50.796416,-1.086241
141019,Ark Elvin Academy,HA9 7DU,51.552244,-0.290994
135389,Ark Evelyn Grace Academy,SE24 0QN,51.460813,-0.10356
135584,Ark Globe Academy,SE1 6AG,51.495597,-0.090823
138245,Ark Greenwich Free School,SE18 4LH,51.471958,0.052873
138518,Ark Isaac Newton Academy,IG1 1FY,51.561803,0.091594
139815,Ark John Keats Academy,EN3 5PA,51.667,-0.038
135242,Ark King Solomon Academy,NW1 6RX,51.521282,-0.169274
137578,Ark Kings Academy,B38 9DE,52.398105,-1.931542
147061,Ark Pioneer Academy,EN5 2BE,51.647152,-0.191686
138681,Ark Putney Academy,SW15 3DG,51.454828,-0.225564
147863,Ark Soane Academy,W3 8EA,51.50779,-0.276609
135970,Ark St Alban's Academy,B12 0YH,52.465532,-1.887089
141752,Ark Victoria Academy,B10 0HJ,52.463311,-1.845205
135315,Ark Walworth Academy,SE1 5UJ,51.487094,-0.079482
145863,Armfield Academy,FY4 1TL,53.789421,-3.047777
149399,Armley Grange School,LS12 3QH,53.801635,-1.608861
138314,Armthorpe Academy,DN3 2DA,53.540078,-1.059732
135187,Arnfield Independent School,SK14 9EY,53.451902,-2.078805
146562,Arnold Hill Spencer Academy,NG5 6NZ,52.998,-1.118
125774,Arnold Lodge School,CV32 5TW,52.297058,-1.536357
138505,Arrow Vale High School,B98 0GF,52.297928,-1.897683
136266,Arthur Mellows Village College,PE6 7JX,52.63752,-0.302747
131690,Arts and Media School Islington,N4 3LS,51.567524,-0.11553
102551,ArtsEd Day School & Sixth Form,W4 1LY,51.495958,-0.252435
138094,Ash Field Academy,LE5 4PY,52.629,-1.086
137781,Ash Green School,CV7 9AH,52.461559,-1.509185
137066,Ash Hill Academy,DN7 6JH,53.574793,-1.008445
122957,Ash Lea School,NG12 3PA,52.906109,-1.039449
125271,Ash Manor School,GU12 6QH,51.239405,-0.728318
100537,Ashbourne College,W8 4PL,51.502797,-0.190403
143532,Ashbrooke School,SR2 7JA,54.896,-1.383
148549,Ashby School,LE65 1DT,52.748459,-1.463347
149577,Ashcroft School,CV7 9BP,52.467865,-1.483089
135316,Ashcroft Technology Academy,SW15 2UT,51.456321,-0.20773
137981,Ashfield Comprehensive School,NG17 8HP,53.110663,-1.26956
118937,Ashford School,TN24 8PB,51.149683,0.878443
147124,Ashgate Croft School,S40 4BN,53.240657,-1.457153
144601,Ashington Academy,NE63 8DH,55.177786,-1.579414
136587,Ashlawn School,CV22 5ET,52.357793,-1.228585
135975,Ashlea House School,M34 6ET,53.442739,-2.117675
111515,Ashley High School,WA8 7HG,53.370566,-2.753766
117578,Ashlyns School,HP4 3AH,51.753384,-0.564192
136308,Ashmole Academy,N14 5RJ,51.632688,-0.136181
120352,Ashmount School,LE11 4SQ,52.770008,-1.239566
119707,Ashton Community Science College,PR2 1SL,53.769764,-2.746578
145398,Ashton Park School,BS3 2JL,51.440345,-2.630337
138123,Ashton-on-Mersey School,M33 5BP,53.419448,-2.338992
121758,Ashville College,HG2 9JP,53.974,-1.552
148189,Aspiration House School,PE22 0NX,52.982788,0.041103
135608,Aspire AP School 2,B19 1NP,52.50281,-1.91407
140677,Aspire Academy,BA2 5RF,51.355999,-2.371095
139962,Aspire Ap School,B28 9BL,52.432896,-1.844885
149444,Aspire Learning,CR0 5SP,51.366522,-0.091154
146350,Aspris Telford School,TF8 7DT,52.632836,-2.49186
138878,Assess Education,L15 4LP,53.399214,-2.923712
122374,Astley Community High School,NE25 0BP,55.069304,-1.524977
136718,Aston Academy,S26 4SF,53.369064,-1.323538
136882,Aston Manor Academy,B6 4PZ,52.496408,-1.891075
138222,Aston University Engineering Academy,B7 4AG,52.489126,-1.886277
138167,Astor Secondary School,CT17 0AS,51.126766,1.288774
146501,Astrea Academy Dearne,S63 9EW,53.528,-1.307
145864,Astrea Academy Sheffield,S3 9BE,53.399152,-1.466043
146370,Astrea Academy Woodfields,DN4 8ND,53.498671,-1.140034
142896,Atam Academy,RM6 4XX,51.580883,0.118388
147911,Atelier21 Future School,RH11 9RZ,51.096389,-0.196361
138118,Ateres Girls High School,NE10 9PQ,54.949027,-1.564444
131277,Athena School,LN5 8EL,53.217,-0.539
138233,Atherton High School,M46 0AY,53.521819,-2.493701
146567,Atlantic Academy,EX39 5DW,50.981077,-4.332911
145119,Atlantic Academy Portland,DT5 2NA,50.529,-2.452
140534,Attleborough Academy,NR17 2AJ,52.520802,1.022438
132119,Auckland College,L17 4LE,53.379758,-2.948291
136273,Audenshaw School,M34 5NB,53.466576,-2.118449
140653,Aureus School,OX11 6FF,51.6022,-1.271769
146790,Aurora Beeches School,BH21 5RT,50.932232,-1.901996
136003,Aurora Brooklands School,PR26 7TB,53.697035,-2.741655
149579,Aurora Cedars School,WV3 9DW,52.586148,-2.167671
121229,Aurora Eccles School,NR16 2NZ,52.461126,0.973397
149186,Aurora Fairway School,PE27 6RS,52.330608,-0.086582
143839,Aurora Hanley School,ST2 8PQ,53.027418,-2.135788
138563,Aurora Hedgeway School,BS35 4JN,51.562079,-2.620911
110920,Aurora Meldreth Manor School,SG8 6LG,52.098453,0.004383
148930,Aurora Poppyfield School,KT24 5JP,51.274117,-0.396791
144730,Aurora Redehall School,RH6 9QA,51.167,-0.115
148662,Aurora Severnside School,GL13 9FB,51.689109,-2.498673
138884,Aurora Woodlands School,BB3 2NG,53.68,-2.465
142333,Austen House,BB4 5TS,53.709706,-2.340656
112453,Austin Friars,CA3 9PB,54.908,-2.951
123945,Avalon School,BA16 0PS,51.116138,-2.748322
143679,Avanti Fields School,LE5 0BX,52.649364,-1.087749
149078,Avanti Grange Secondary School,CM23 2BD,51.88542,0.152161
138227,Avanti House School,HA7 2EQ,51.608,-0.304
140354,Avon Park School,CV22 5HR,52.360228,-1.23606
143005,Avon Valley Academy,SP4 8HH,51.200631,-1.770419
147467,Avonbourne Boys' Academy,BH7 6NZ,50.738966,-1.827227
138193,Avonbourne Girls Academy,BH7 6NY,50.738579,-1.82754
144392,Axe Valley Academy,EX13 5EA,50.783444,-2.994911
148043,Aya College (Educational Provision),SE25 5PQ,51.392164,-0.091409
135155,Ayesha Siddiqa Girls School,UB1 1LR,51.512028,-0.38354
136884,Aylesbury Grammar School,HP21 7RP,51.813983,-0.801472
136846,Aylesbury High School,HP21 7SX,51.812094,-0.802218
139434,Aylesbury UTC,HP21 8PB,51.813461,-0.826436
149319,Aylesford School,ME20 7JU,51.29804,0.46413
137770,Aylesford School Warwick,CV34 6XR,52.270553,-1.601059
116936,Aylestone School,HR1 1HY,52.064155,-2.696077
121164,Aylsham High School,NR11 6AN,52.796316,1.257302
136147,Aylward Academy,N18 1NB,51.617717,-0.081542
134417,Azhar Academy Girls School,E15 4DR,51.539326,0.007869
138111,BBG Academy,BD19 4BE,53.743967,-1.691834
148646,BFC School,FY1 6JJ,53.805489,-3.04853
149042,BOA Digital Technologies Academy,B7 4EU,52.484745,-1.878764
101849,BRIT School for Performing Arts and Technology,CR0 2HN,51.390395,-0.092618
143247,Babington Academy,LE4 0SZ,52.662555,-1.159963
101680,Babington House School,BR7 5ES,51.418146,0.048045
103751,Bablake School,CV1 4AU,52.41395,-1.521225
